_id,name,productnum,category,imageName
,Catfish,,11,seafood_default_icon
,Crab,,11,seafood_default_icon
,Lobster,,11,seafood_default_icon
,Mussels,,11,seafood_default_icon
,Oysters,,11,seafood_default_icon
,Salmon,,11,seafood_default_icon
,Shrimp,,11,seafood_default_icon
,Tilapia,,11,seafood_default_icon
,Tuna,,11,seafood_default_icon
,Club soda,,12,beverage_default_icon
,Gin,,12,beverage_default_icon
,Juice,,12,beverage_default_icon
,Orange juice,,12,orange_icon
,Apple juice,,12,apple_icon
,Apple cider,,12,apple_icon
,Cranberry juice,,12,cherry_icon
,Mango juice,,12,beverage_default_icon
,Soda pop,,12,coca_cola_can_icon
,Sports drink,,12,beverage_default_icon
,water,,12,beverage_default_icon
,Fruit juice,,12,beverage_default_icon
,Pastries,,13,cramb_icon
,Croissants,,13,croissant_icon
,Rolls,,13,cramb_icon
,Cookies,,13,cookie_icon
,Bagels,,13,cramb_icon
,Buns,,13,bread_icon
,Cake,,13,cake_icon
,Donuts,,13,cramb_icon
,Fresh bread,,13,baked_default_icon
,Pie,,13,pie_icon
,Pita bread,,13,baked_default_icon
,Sliced bread,,13,toast_icon
,English muffins,,14,baked_default_icon
,Baking Soda,,14,baking_default_icon
,Baking powder,,14,baking_default_icon
,Bread crumbs,,14,toast_icon
,Cake mix,,14,cake_icon
,Corn flour,,14,baking_default_icon
,Sprinkles,,14,candy_default_icon
,Cake icing,,14,cake_icon
,Icing sugar,,14,sugar_icon
,Bakers chocolate,,14,baking_default_icon
,Semi-Sweet chocolate chips,,14,baking_default_icon
,Cocoa,,14,baking_default_icon
,Chocolate chips,,14,chocolate_icon
,Flour,,14,baking_default_icon
,Shortening,,14,baking_default_icon
,Brown sugar,,14,sugar_icon
,Sugar,,14,sugar_icon
,Sugar substitute,,14,sugar_icon
,Yeast,,15,baking_default_icon
,Pudding,,15,candy_default_icon
,Sunflower seeds,,15,nut_icon
,Candy,,15,candy_default_icon
,Cookies,,15,cookie_icon
,Crackers,,15,global_default_icon
,Dried fruit,,15,dairy_default_icon
,Granola,,15,global_default_icon
,Granola bars,,15,global_default_icon
,Seeds,,15,global_default_icon
,Nuts,,15,nut_icon
,Oatmeal,,15,global_default_icon
,Popcorn,,15,corn_icon
,Corn chips,,15,corn_icon
,Potato chips,,15,potato_icon
,Chips,,15,potato_icon
,Pretzels,,15,pretzel_icon
,Chip dip,,15,global_default_icon
,Hummus,,16,global_default_icon
,Baby food,,16,baby_default_icon
,Diapers,,16,baby_default_icon
,Formula,,16,baby_default_icon
,Lotion,,16,baby_default_icon
,Baby wash,,16,baby_default_icon
,Wipes,,16,baby_default_icon
,Cat treats,,17,pet_default_icon
,Dog treats,,17,pet_default_icon
,Cat food,,17,pet_default_icon
,Cat litter,,17,pet_default_icon
,Dog food,,17,pet_default_icon
,Flea treatment,,17,pet_default_icon
,Pet shampoo,,18,pet_default_icon
,Deoderant,,18,hygenic_default_icon
,Antiperspirant,,18,hygenic_default_icon
,Soap,,18,hygenic_default_icon
,Condoms,,18,hygenic_default_icon
,Cosmetics,,18,hygenic_default_icon
,Cotton swabs,,18,hygenic_default_icon
,Facial cleanser,,18,hygenic_default_icon
,Facial tissue,,18,hygenic_default_icon
,Feminine products,,18,hygenic_default_icon
,Floss,,18,hygenic_default_icon
,Hair spray,,18,hygenic_default_icon
,Hair gel,,18,hygenic_default_icon
,Lip balm,,18,hygenic_default_icon
,Moisturizing lotion,,18,hygenic_default_icon
,Mouthwash,,18,hygenic_default_icon
,Razors,,18,hygenic_default_icon
,Shaving cream,,18,hygenic_default_icon
,Conditioner,,18,hygenic_default_icon
,Shampoo,,18,hygenic_default_icon
,Sunblock,,18,hygenic_default_icon
,Toilet paper,,18,hygenic_default_icon
,Toothpaste,,18,hygenic_default_icon
,Vitamin C,,19,pill_icon
,Vitamin D,,19,pill_icon
,Multivitamin,,19,pill_icon
,Protien supllement,,19,pill_icon
,Vitamins,,19,pill_icon
,Allergy,,19,pill_icon
,Antibiotic,,19,pill_icon
,Antidiarrheal,,19,pill_icon
,Aspirin,,19,pill_icon
,Advil,,19,pill_icon
,Ibuprofen,,19,pill_icon
,Advil Cold & Sinus,,19,pill_icon
,Antacid,,19,pill_icon
,Band-aids,,19,bandaid_icon
,Cold & Sinus medication,,19,medicine_default_icon
,Pain reliever,,19,pill_icon
,Aluminum foil,,20,default_kitchen_icon
,Napkins,,20,default_kitchen_icon
,Non-stick spray,,20,default_kitchen_icon
,Paper towels,,20,default_kitchen_icon
,Plastic wrap,,20,default_kitchen_icon
,Sandiwch Bags,,20,default_kitchen_icon
,Freezer bags,,20,default_kitchen_icon
,Wax paper,,21,default_kitchen_icon
,Air freshener,,21,air_freshener_icon
,Laundry detergent,,21,housecare_default_icon
,Bathroom cleaner,,21,housecare_default_icon
,Bleach,,21,housecare_default_icon
,Dishwasher soap,,21,housecare_default_icon
,Garbage bags,,21,garbage_bag_icon
,Glass cleaner,,21,housecare_default_icon
,Vacuum bags,,21,housecare_default_icon
,Mop heads,,21,housecare_default_icon
,Sponges,,21,housecare_default_icon
,Scrubbers,,21,housecare_default_icon
,DVDRs,,22,office_default_icon
,CDRs,,22,office_default_icon
,Envelopes,,22,office_default_icon
,Notepad,,22,office_default_icon
,Tape,,22,office_default_icon
,Glue,,22,office_default_icon
,Coffee Filter,,22,office_default_icon
,Printer paper,,22,office_default_icon
,Pencil,,22,office_default_icon
,Pen,,22,office_default_icon
,Postage stamps,,23,office_default_icon
,Automotive,,23,transport_tire_icon
,Batteries,,23,battery_power_icon
,Propane,,23,propane_icon
,Charcoal,,23,propane_icon
,Flowers,,23,flower_icon
,Insect repellent,,23,bug_icon
,Light bulbs,,23,light_bulb_icon
,Magazine,,23,newspaper_icon
,Newspaper,,23,newspaper_icon
